"id","name","origin","move_id"
310244,"DO1208Y0065-ST","",377266
310979,"DO1208Y0066-ST","",377262
310995,"DO1208Y0067-ST","",377263
311023,"DO1208Y0068-ST","",377264
311043,"DO1208Y0069-ST","",377267
311050,"DO1208Y0070-ST","",377268
311059,"DO1208Y0071-ST","",377269
311061,"DO1208Y0072-ST","",377270
311080,"DO1208Y0073-ST","",377271
312262,"DO1208Y0074-ST","",377288
312289,"DO1208Y0075-ST","",377289
312296,"DO1208Y0076-ST","",377290
312301,"DO1208Y0077-ST","",377291
312734,"DO1208Y0078-ST","",377299
312789,"DO1208Y0079-ST","",377300
312795,"DO1208Y0080-ST","",377301
315664,"DO1208Y0081-ST","",377321
315677,"DO1208Y0082-ST","",377322
315681,"DO1208Y0083-ST","",377323
315683,"DO1208Y0084-ST","",377324
315685,"DO1208Y0085-ST","",377325
316354,"DO1208Y0086-ST","",377330
316366,"DO1208Y0087-ST","",377331
316384,"DO1208Y0088-ST","",377332
316944,"DO1208Y0089-ST","",377344
316950,"DO1208Y0090-ST","",377345
316953,"DO1208Y0091-ST","",377346
316954,"DO1208Y0092-ST","",377347
316955,"DO1208Y0093-ST","",377348
317763,"DO1208Y0094-ST","",377359
317806,"DO1208Y0095-ST","",377360
317810,"DO1208Y0096-ST","",377361
317814,"DO1208Y0097-ST","",377362
318616,"DO1208Y0098-ST","",377371
318634,"DO1208Y0099-ST","",377372
318637,"DO1208Y0100-ST","",377373
318646,"DO1208Y0101-ST","",377374
318654,"DO1208Y0102-ST","",377375
318667,"DO1208Y0103-ST","",377376
321893,"DO1208Y0104-ST","",377412
321903,"DO1208Y0105-ST","",377413
322444,"DO1208Y0106-ST","",377414
323058,"DO1208Y0107-ST","",377462
323073,"DO1208Y0108-ST","",377463
323095,"DO1208Y0109-ST","",377464
323098,"DO1208Y0110-ST","",377465
323102,"DO1208Y0111-ST","",377466
323109,"DO1208Y0112-ST","",377467
323114,"DO1208Y0113-ST","",377468
325593,"DO1208Y0114-ST","",377504
326944,"DO1208Y0116-ST","",377521
326953,"DO1208Y0117-ST","",377522
326958,"DO1208Y0118-ST","",377523
326980,"DO1208Y0120-ST","",377524
326988,"DO1208Y0123-ST","",377525
328718,"DO1208Y0124-ST","",377536
328740,"DO1208Y0125-ST","",377539
328755,"DO1208Y0126-ST","",377540
328765,"DO1208Y0127-ST","",377567
328770,"DO1208Y0129-ST","",377541
299346,"DO1208Z0002-ST","",378885
299396,"DO1208Z0003-ST","",378886
299421,"DO1208Z0004-ST","",378887
299432,"DO1208Z0005-ST","",378888
299450,"DO1208Z0006-ST","",378889
299561,"DO1208Z0007-ST","",378890
303572,"DO1208Z0008-ST","",378913
308747,"DO1208Z0010-ST","",378951
308765,"DO1208Z0011-ST","",378952
308783,"DO1208Z0012-ST","",378953
